,Shooter,value_added_total,shot_worth_total,PTS_total,Shot_taken,value_added_per_shot,shot_worth_per_shot,PTS_per_shot,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
252,"Joseph, Cory",25.40613211,384.7187506,428,409,0.062117682,0.940632642,1.046454768,0.503667482,0.451837184,0.994268579,10.33349633,11.37640476,3.554767726,3.858679707,3.980440098
253,"Kaman, Chris",5.397031727,518.6159134,564,546,0.009884673,0.949845995,1.032967033,0.516483516,0.474922998,0.994268579,8.412087912,12.08016896,3.112637363,1.88992674,0.745421245
254,"Kanter, Enes",-33.98656246,940.6003139,976,919,-0.036982114,1.02350415,1.062023939,0.522306855,0.502042054,0.994268579,7.946245919,13.43024204,3.492709467,1.617519042,0.466811752
255,"Karasev, Sergey",-23.72044944,140.5297639,124,132,-0.179700375,1.064619424,0.939393939,0.409090909,0.45446006,0.994268579,15.27348485,13.0901324,4.872727273,1.275757576,0.560606061
256,"Kelly, Ryan",-65.20870357,301.8358731,253,308,-0.21171657,0.979986601,0.821428571,0.337662338,0.409937581,0.994268579,17.36071429,11.18657626,4.928896104,1.766883117,0.779220779
257,"Kidd-Gilchrist, Michael",-55.10195321,467.9992394,446,478,-0.115276053,0.979077907,0.933054393,0.466527197,0.489538953,0.994268579,9.850627615,12.83336028,3.435774059,1.917364017,1.290794979
258,"Kilpatrick, Sean",-6.019334593,21.23467476,16,19,-0.316807084,1.117614461,0.842105263,0.315789474,0.423618715,0.994268579,19.65263158,14.33684211,4.452631579,1.078947368,0.368421053
259,"Kirilenko, Andrei",-4.791028899,4.391742673,0,4,-1.197757225,1.097935668,0,0,0.548967834,0.994268579,3.475,9.187184661,1.725,1.575,1.25
260,"Kirk, Alex",-2.685866224,4.585674388,2,4,-0.671466556,1.146418597,0.5,0.25,0.573209299,0.994268579,12.125,10.56218466,3.625,0.775,0
261,"Knight, Brandon",-80.02874526,895.748232,858,872,-0.091776084,1.027234211,0.983944954,0.422018349,0.446720474,0.994268579,16.5233945,13.7752245,4.549885321,4.475458716,4.826834862
262,"Korver, Kyle",146.4303381,627.0462299,805,598,0.244866786,1.048572291,1.346153846,0.488294314,0.386396007,0.994268579,22.09531773,14.22510184,4.966053512,0.792307692,0.314381271
263,"Koufos, Kosta",-26.74693692,365.2571258,362,354,-0.075556319,1.03179979,1.02259887,0.511299435,0.515899895,0.994268579,6.808757062,13.3468499,3.176836158,1.201412429,0.389830508
264,"Kuzmic, Ognjen",3.918054782,11.81645208,16,12,0.326504565,0.98470434,1.333333333,0.666666667,0.49235217,0.994268579,8.533333333,13.95833333,3.891666667,0.833333333,0
265,"LaVine, Zach",-52.33911678,644.1763125,625,667,-0.07846944,0.965781578,0.937031484,0.425787106,0.440105774,0.994268579,15.04647676,13.05022232,4.191754123,4.030134933,3.734632684
266,"Lamb, Jeremy",-10.6401575,243.1491842,246,250,-0.04256063,0.972596737,0.984,0.416,0.407993708,0.994268579,17.2912,12.8233445,4.2168,2.9264,2.288
267,"Landry, Carl",7.26283928,345.3295104,380,366,0.019843823,0.943523252,1.038251366,0.519125683,0.471761626,0.994268579,9.65273224,11.7778275,3.669672131,1.648907104,0.333333333
268,"Larkin, Shane",-31.29870491,419.1378221,409,425,-0.073644012,0.98620664,0.962352941,0.44,0.445100338,0.994268579,14.47482353,11.64134647,4.585647059,3.275294118,3.028235294
269,"Lauvergne, Joffrey",-26.5882072,93.14895801,72,88,-0.302138718,1.058510887,0.818181818,0.397727273,0.497019812,0.994268579,9.301136364,13.89883497,3.939772727,1.419318182,0.534090909
270,"Lawson, Ty",-37.55569469,869.4526202,878,922,-0.040732858,0.94300718,0.952277657,0.438177874,0.432626105,0.994268579,14.08796095,13.2686204,4.405206074,5.455097614,5.31670282
271,"Ledo, Ricky",-22.65955733,90.62485182,74,96,-0.236037056,0.944008873,0.770833333,0.333333333,0.422501511,0.994268579,12.84895833,12.53370964,3.684375,2.7125,2.28125
272,"Lee, Courtney",-6.488915317,632.5908011,664,640,-0.01013893,0.988423127,1.0375,0.4484375,0.427535395,0.994268579,16.43140625,12.08507347,4.6475,1.89140625,1.1609375
273,"Lee, David",-11.05945841,308.8092918,320,307,-0.036024295,1.005893458,1.042345277,0.521172638,0.50243602,0.994268579,7.005537459,13.00386771,2.884364821,1.749837134,0.74267101
274,"Len, Alex",-56.30960208,377.8783533,347,342,-0.164647959,1.104907466,1.014619883,0.505847953,0.551250766,0.994268579,7.51754386,13.7055408,3.468128655,1.228947368,0.233918129
275,"Leonard, Kawhi",-9.813820933,804.6670765,847,816,-0.012026741,0.986111613,1.037990196,0.477941176,0.448755122,0.994268579,13.79840686,12.48867293,4.210294118,2.901470588,2.072303922
276,"Leonard, Meyers",12.86751884,268.8972443,297,245,0.052520485,1.097539773,1.212244898,0.510204082,0.463136175,0.994268579,16.18653061,11.98158117,5.97755102,1.283265306,0.33877551
277,"Leuer, Jon",-45.33261534,276.9504816,249,273,-0.166053536,1.014470628,0.912087912,0.443223443,0.487151666,0.994268579,11.96446886,12.5838181,4.185347985,1.426373626,0.454212454
278,"Lillard, Damian",-65.26922947,1372.40067,1376,1355,-0.048169173,1.012841823,1.015498155,0.435424354,0.432998645,0.994268579,16.31077491,13.17612945,4.188782288,5.276752768,5.238376384
279,"Lin, Jeremy",-23.26337464,609.949366,619,651,-0.03573483,0.93694219,0.950844854,0.425499232,0.422098375,0.994268579,14.1344086,12.35887891,3.815668203,4.897849462,4.388632873
280,"Livingston, Shaun",13.4816781,365.090404,396,394,0.034217457,0.926625391,1.005076142,0.502538071,0.462931936,0.994268579,9.155329949,11.7111291,3.002791878,3.742385787,3.241116751
281,"Lopez, Brook",26.31381076,880.6713988,983,942,0.027933982,0.934895328,1.043524416,0.521231423,0.465507313,0.994268579,9.971019108,12.10712945,3.789065817,1.82537155,0.564755839
282,"Lopez, Robin",-30.5115,465.3203217,468,434,-0.070302995,1.07216664,1.078341014,0.539170507,0.535637439,0.994268579,6.33156682,13.33820235,3.240552995,1.108525346,0.306451613
283,"Love, Kevin",-82.40758844,969.384476,955,937,-0.087948333,1.034561874,1.019210245,0.433297759,0.439273997,0.994268579,15.19295624,12.08333766,4.556350053,1.772892209,0.573105656
