,Defender,value_added_total,shot_worth_total,PTS_total,Shot_defenses,value_added_per_shot,shot_worth_per_shot,PTS_per_shot_allowed,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
290,"Mahinmi, Ian",-65.47921206,503.2610466,471,509,-0.128642853,0.988725042,0.925343811,0.447937132,0.475636206,0.994268579,9.364440079,12.12096709,3.493320236,2.993320236,2.172888016
429,"Teague, Jeff",-65.36655855,585.6471649,558,590,-0.110790777,0.992622313,0.945762712,0.398305085,0.416616296,0.994268579,18.11152542,12.60296961,4.717966102,2.920847458,2.389830508
88,"Chandler, Wilson",-64.95270762,865.0583356,851,851,-0.076325156,1.016519783,1,0.438307873,0.441996334,0.994268579,14.86627497,12.42057388,4.147121034,2.506815511,1.672150411
233,"James, LeBron",-64.53501549,558.5247253,527,536,-0.120401148,1.042023741,0.983208955,0.429104478,0.450692227,0.994268579,15.3738806,12.79967073,4.858395522,2.20391791,1.501865672
401,"Scott, Mike",-64.17008454,363.2658755,327,351,-0.182820754,1.034945514,0.931623932,0.421652422,0.456774783,0.994268579,14.41623932,12.38823284,4.816524217,2.137606838,1.356125356
55,"Booker, Trevor",-64.12102457,517.9873597,491,546,-0.117437774,0.948694798,0.899267399,0.401098901,0.422557455,0.994268579,14.55091575,11.92429891,4.278754579,2.469413919,1.663003663
0,"Acy, Quincy",-63.56393605,412.036436,377,421,-0.150983221,0.978708874,0.895486936,0.420427553,0.447334975,0.994268579,12.99049881,12.59439708,3.839667458,2.211638955,1.237529691
450,"Valanciunas, Jonas",-62.95735661,864.2619266,852,853,-0.073806983,1.013202728,0.998827667,0.484173505,0.490495323,0.994268579,8.92028136,13.18930811,3.882297773,2.345955451,1.519343494
282,"Livingston, Shaun",-62.81950623,481.1726182,453,504,-0.124641877,0.954707576,0.898809524,0.390873016,0.410111758,0.994268579,16.23630952,12.5837668,4.287896825,3.149603175,2.589285714
358,"Patterson, Patrick",-62.64197834,796.060999,794,775,-0.080828359,1.027175483,1.024516129,0.464516129,0.465745918,0.994268579,12.37935484,12.04027538,4.280903226,2.229935484,1.425806452
488,"Young, Thaddeus",-62.37627244,886.8555065,878,851,-0.073297617,1.04213338,1.03172738,0.474735605,0.472526824,0.994268579,13.16028202,12.69179608,4.436192714,2.394124559,1.575793184
243,"Johnson, James",-62.36421588,532.7353665,504,534,-0.116786921,0.997631772,0.943820225,0.415730337,0.438561014,0.994268579,14.73820225,12.54893933,4.307865169,2.686891386,1.874531835
328,"Morris, Marcus",-61.84888762,701.2034429,686,697,-0.08873585,1.006030765,0.984218077,0.43902439,0.44619384,0.994268579,13.98134864,12.38626404,3.960401722,2.622812052,1.824964132
265,"Koufos, Kosta",-61.48097008,506.8888678,475,510,-0.120550922,0.993899741,0.931372549,0.449019608,0.477264104,0.994268579,9.507254902,11.62248472,3.478431373,2.817843137,1.905882353
286,"Lowry, Kyle",-61.41006671,727.9161716,710,730,-0.084123379,0.997145441,0.97260274,0.432876712,0.432987314,0.994268579,15.72013699,13.34740873,4.202054795,2.701643836,2.105479452
346,"Nurkic, Jusuf",-61.21194832,522.0773403,487,515,-0.118858152,1.013742408,0.945631068,0.454368932,0.48854638,0.994268579,8.77184466,12.03666474,3.597281553,3.042330097,2.112621359
329,"Morris, Markieff",-61.12055975,888.4104069,880,888,-0.068829459,1.00046217,0.990990991,0.462837838,0.465089527,0.994268579,11.84943694,12.69496459,3.831306306,2.427927928,1.487612613
203,"Hawes, Spencer",-60.60699861,565.0909531,540,562,-0.107841635,1.005499917,0.960854093,0.450177936,0.465748428,0.994268579,11.95053381,12.19949905,4.402669039,2.484519573,1.615658363
438,"Thompson, Hollis",-60.47624647,534.8839951,507,534,-0.113251398,1.001655422,0.949438202,0.411985019,0.43114919,0.994268579,16.16985019,12.83067854,4.64588015,2.367228464,1.720973783
308,"McLemore, Ben",-60.37422217,922.8325505,909,913,-0.066127297,1.010769497,0.995618839,0.43592552,0.43641885,0.994268579,15.64994524,13.03567607,4.396495071,2.489485214,1.78094195
141,"Ellis, Monta",-59.86989661,858.1531887,845,842,-0.07110439,1.01918431,1.003562945,0.420427553,0.425132178,0.994268579,17.24287411,12.65790331,4.507482185,2.458669834,1.705463183
167,"Gay, Rudy",-59.64677935,801.2668511,787,783,-0.076177241,1.023329312,1.005108557,0.434227331,0.437519619,0.994268579,15.67369093,12.78820521,4.701660281,2.331162197,1.535121328
433,"Terry, Jason",-57.71973079,479.7199201,449,487,-0.118521008,0.985051171,0.921971253,0.402464066,0.423963111,0.994268579,16.55420945,12.35210944,4.811704312,2.993223819,2.377823409
46,"Biyombo, Bismack",-57.42324058,450.663354,418,465,-0.12349084,0.969168503,0.898924731,0.440860215,0.473370384,0.994268579,9.030107527,11.57792173,3.480860215,2.684946237,1.855913978
123,"Deng, Luol",-57.33905315,876.8717788,863,867,-0.066135009,1.011386135,0.99538639,0.437139562,0.440170819,0.994268579,15.34682814,12.55382607,4.209573241,2.372433679,1.641291811
212,"Hill, George",-57.32949792,442.1730774,414,458,-0.125173576,0.9654434,0.903930131,0.397379913,0.424997753,0.994268579,15.480131,13.35615386,3.894104803,3.75371179,3.331877729
403,"Seraphin, Kevin",-56.88071138,478.4588665,456,493,-0.115376697,0.9705048,0.92494929,0.442190669,0.465742778,0.994268579,9.464503043,12.1038079,3.37525355,3.004259635,2.194726166
304,"McDaniels, KJ",-56.41915121,450.1343745,414,434,-0.129998044,1.037175978,0.953917051,0.419354839,0.454751744,0.994268579,14.01290323,12.59662702,4.415668203,1.93640553,1.179723502
417,"Snell, Tony",-56.09656426,437.9806603,413,449,-0.124936669,0.975458041,0.919821826,0.409799555,0.429912948,0.994268579,15.57639198,12.98176708,4.10467706,2.572828508,1.893095768
