,Defender,value_added_x,value_added_y,Shot_defenses,shot_worth_y,shot_worth_x
85,"Casspi, Omri",46.540690583936026,0.10650043611884674,437.0,1.0124926988925969,442.4593094160648
86,"Chalmers, Mario",-31.453956563653254,-0.04937826776083713,637.0,0.9975729302412126,635.4539565636525
87,"Chandler, Tyson",-55.074178770517904,-0.051136656240035196,1077.0,1.0223529979299155,1101.074178770519
88,"Chandler, Wilson",-14.058335611636794,-0.01651978332742279,851.0,1.0165197833274229,865.058335611637
89,"Cherry, Will",3.972679508316427,0.15279536570447796,26.0,1.0395123266032142,27.02732049168357
90,"Christopher, Patrick",8.007760602113628,0.8897511780126253,9.0,0.9991377108762636,8.992239397886372
91,"Clark, Earl",-7.564157184050741,-0.19395274830899334,39.0,1.091388645744891,42.56415718405075
92,"Clark, Ian",-2.5227180630302404,-0.04946506005941648,51.0,1.0298572169221618,52.52271806303025
93,"Clarkson, Jordan",38.3666706926308,0.07813985884446191,491.0,0.9849965973673505,483.6333293073691
94,"Claver, Victor",3.9952794662552344,0.22195997034751302,18.0,0.9447066963191535,17.004720533744763
95,"Cole, Norris",-4.729654097692007,-0.0107248392237914,441.0,0.965373365300888,425.7296540976916
96,"Collison, Darren",25.91246318171273,0.04780897265998659,542.0,0.9466559719894604,513.0875368182875
97,"Collison, Nick",0.437774279958412,0.0009621412746338725,455.0,1.0034334631209707,456.5622257200417
98,"Conley, Mike",51.23944772996147,0.06914905226715448,741.0,0.976734888353628,723.7605522700384
99,"Cooley, Jack",-6.222910992204929,-0.2007390642646751,31.0,1.007190677167901,31.222910992204927
100,"Copeland, Chris",-8.981177850057568,-0.03711230516552714,242.0,1.0205833795456927,246.9811778500576
101,"Cotton, Bryce",8.892431290408217,0.2021007111456413,44.0,1.0478992888543592,46.1075687095918
102,"Cousins, DeMarcus",-62.6555713953142,-0.07764011325317745,807.0,1.0032906708739955,809.6555713953143
103,"Covington, Robert",1.9060619206486418,0.003247124225977243,587.0,1.0495637786701044,616.0939380793512
104,"Crabbe, Allen",-11.981816233092907,-0.05931592194600449,202.0,0.9405040407578856,189.9818162330929
105,"Crawford, Jamal",-1.7904945144306783,-0.004839174363326157,370.0,1.023758093282245,378.79049451443063
106,"Crowder, Jae",-10.644114252118541,-0.01880585556911403,566.0,1.013505502212224,573.6441142521187
107,"Cunningham, Dante",16.369045319990924,0.0305963463925064,535.0,1.008655990056092,539.6309546800093
108,"Cunningham, Jared",1.2660796010515563,0.05275331671048151,24.0,0.8222466832895186,19.733920398948445
109,"Curry, Seth",1.2442981420888022,1.2442981420888022,1.0,0.7557018579111978,0.7557018579111978
110,"Curry, Stephen",-10.235260457523248,-0.013155861770595434,778.0,0.9450324684543993,735.2352604575226
111,"Dalembert, Samuel",-30.857298655288684,-0.12293744484178759,251.0,1.0073995962362106,252.85729865528887
112,"Daniels, Troy",-6.595755036462066,-0.047451475082460906,139.0,0.9755090290392956,135.5957550364621
113,"Datome, Gigi",-9.658048267229914,-0.17246514762910561,56.0,1.0296080047719625,57.658048267229894
114,"Davies, Brandon",31.854196125654692,0.17406664549538084,183.0,1.017190185105712,186.14580387434526
115,"Davis, Anthony",-125.73242925190634,-0.1292214072475913,973.0,0.986364264390448,959.732429251906
116,"Davis, Ed",11.513341403067948,0.01499132995191139,768.0,1.0318836700480893,792.4866585969326
117,"Davis, Glen",-8.556730973894672,-0.025390893097610303,337.0,0.9838478663913787,331.5567309738946
