,Shooter,value_added_x,value_added_y,Shot_taken,shot_worth_y,shot_worth_x
71,"Butler, Caron",25.357592883171513,0.06419643767891522,395.0,0.961120018017287,379.64240711682834
72,"Butler, Jimmy",12.537283606997196,0.013777234732963951,910.0,0.9895194685637388,900.4627163930023
73,"Butler, Rasual",17.862893041964416,0.03461800977124887,516.0,0.9828238506938684,507.13710695803604
74,"Buycks, Dwight",8.039397073304048,0.20098492683260122,40.0,0.8740150731673989,34.960602926695955
75,"Bynum, Will",-8.326632223857965,-0.2686010394792892,31.0,0.91376232980187,28.32663222385797
76,"Caboclo, Bruno",-1.8730317833750862,-0.15608598194792386,12.0,0.9894193152812574,11.873031783375088
77,"Calathes, Nick",-29.22706538854001,-0.12543804887785412,233.0,1.0138500660452359,236.22706538853996
78,"Calderon, Jose",17.78106539998503,0.0513903624277024,346.0,0.9370489439306793,324.218934600015
79,"Caldwell-Pope, Kentavious",-62.35283931954445,-0.0642150765391807,971.0,1.0250801640778011,995.3528393195448
80,"Canaan, Isaiah",3.9090392139133545,0.010651333007938297,367.0,1.0220462146759848,375.0909607860864
81,"Capela, Clint",-6.735012093720332,-0.23224179633518388,29.0,1.1977590377144947,34.73501209372034
82,"Carroll, DeMarre",25.478811961777424,0.03968662299342278,642.0,1.1160766168819667,716.5211880382226
83,"Carter, Vince",-61.57199294203733,-0.15354611706243723,401.0,0.9889575883841326,396.5719929420372
84,"Carter-Williams, Michael",-85.31263157956592,-0.09323784872083707,915.0,0.9282105263164662,849.3126315795665
85,"Casspi, Omri",24.503500255955913,0.058203088493957035,421.0,1.017806412693692,428.49649974404434
86,"Chalmers, Mario",-42.551356977588405,-0.06627937223923427,642.0,1.0008588114915702,642.5513569775881
87,"Chandler, Tyson",13.350362926312124,0.030832246942984122,433.0,1.3040407322717966,564.6496370736879
88,"Chandler, Wilson",-17.98446373681689,-0.018521589842241903,971.0,1.0205813220770517,990.9844637368171
89,"Cherry, Will",-9.470145019478025,-0.4984286852356855,19.0,1.1300076326041064,21.47014501947802
90,"Christopher, Patrick",-6.225266213306638,-0.5187721844422198,12.0,1.0187721844422197,12.225266213306638
91,"Clark, Earl",-5.097448985643945,-0.1699149661881315,30.0,1.0365816328547983,31.097448985643947
92,"Clark, Ian",-10.60695639605072,-0.20013125275567395,53.0,1.030319932000957,54.60695639605073
93,"Clarkson, Jordan",21.173812071785953,0.03576657444558438,592.0,0.9304496417706305,550.8261879282132
94,"Claver, Victor",1.9240892815363482,0.0962044640768174,20.0,1.1037955359231826,22.075910718463653
95,"Cole, Norris",-23.381272174552095,-0.04266655506305127,548.0,0.9733234893696207,533.3812721745521
96,"Collison, Darren",46.907361911757626,0.08528611256683205,550.0,0.969259341978622,533.0926380882421
97,"Collison, Nick",-36.87134792587347,-0.14689780050148793,251.0,1.05526433436603,264.8713479258735
98,"Conley, Mike",29.337388137971573,0.033528443586253225,875.0,0.9824715564137464,859.6626118620281
99,"Cooley, Jack",-3.221701228135311,-0.14644096491524142,22.0,0.9646227830970595,21.22170122813531
100,"Copeland, Chris",-33.802920409208006,-0.11305324551574585,299.0,1.0093743157498594,301.80292040920796
101,"Cotton, Bryce",2.523675331216291,0.0365750048002361,69.0,0.90545398070701,62.47632466878369
102,"Cousins, DeMarcus",-10.233148685894369,-0.009745855891327971,1050.0,0.9468887130341843,994.2331486858935
