espn_player_name,espn_player_id,espn_first_name_lower,espn_last_name_lower,nba_id,nba_name,nba_first,nba_last
jodie meeks,4003,jodie,meeks,201975,"Meeks, Jodie",jodie,meeks
joe harris,2528794,joe,harris,203925,"Harris, Joe",joe,harris
joe ingles,2968436,joe,ingles,204060,"Ingles, Joe",joe,ingles
joe johnson,1007,joe,johnson,2207,"Johnson, Joe",joe,johnson
joel anthony,3247,joel,anthony,201202,"Anthony, Joel",joel,anthony
joel freeland,3004,joel,freeland,200777,"Freeland, Joel",joel,freeland
joey dorsey,3421,joey,dorsey,201595,"Dorsey, Joey",joey,dorsey
joffrey lauvergne,2959753,joffrey,lauvergne,203530,"Lauvergne, Joffrey",joffrey,lauvergne
john henson,6592,john,henson,203089,"Henson, John",john,henson
john jenkins,6594,john,jenkins,203098,"Jenkins, John",john,jenkins
john lucas iii,2866,john,lucas,101249,"Lucas III, John",john,lucasiii
john salmons,1726,john,salmons,2422,"Salmons, John",john,salmons
john wall,4237,john,wall,202322,"Wall, John",john,wall
johnny obryant iii,2581084,johnny,obryant,203948,"O'Bryant, Johnny",johnny,obryant
jon leuer,6452,jon,leuer,202720,"Leuer, Jon",jon,leuer
jonas jerebko,3998,jonas,jerebko,201973,"Jerebko, Jonas",jonas,jerebko
jonas valanciunas,6477,jonas,valanciunas,202685,"Valanciunas, Jonas",jonas,valanciunas
jordan adams,2993873,jordan,adams,203919,"Adams, Jordan",jordan,adams
jordan clarkson,2528426,jordan,clarkson,203903,"Clarkson, Jordan",jordan,clarkson
jordan farmar,3002,jordan,farmar,200770,"Farmar, Jordan",jordan,farmar
jordan hamilton,6436,jordan,hamilton,202706,"Hamilton, Jordan",jordan,hamilton
jordan hill,3994,jordan,hill,201941,"Hill, Jordan",jordan,hill
jorge gutierrez,2327449,jorge,gutierrez,203268,"Gutierrez, Jorge",jorge,gutierrez
jose calderon,2806,jose,calderon,101181,"Calderon, Jose",jose,calderon
jj barea,3055,jj,barea,200826,"Barea, Jose Juan",josejuan,barea
josh mcroberts,3220,josh,mcroberts,201177,"McRoberts, Josh",josh,mcroberts
josh smith,2411,josh,smith,2746,"Smith, Josh",josh,smith
jr smith,2444,jr,smith,2747,"Smith, J.R.",jr,smith
jrue holiday,3995,jrue,holiday,201950,"Holiday, Jrue",jrue,holiday
julius randle,3064514,julius,randle,203944,"Randle, Julius",julius,randle
justin hamilton,6590,justin,hamilton,203120,"Hamilton, Justin",justin,hamilton
justin holiday,2284101,justin,holiday,203200,"Holiday, Justin",justin,holiday
jusuf nurkic,3102530,jusuf,nurkic,203994,"Nurkic, Jusuf",jusuf,nurkic
kalin lucas,2282734,kalin,lucas,203564,"Lucas, Kalin",kalin,lucas
kawhi leonard,6450,kawhi,leonard,202695,"Leonard, Kawhi",kawhi,leonard
kelly olynyk,2489663,kelly,olynyk,203482,"Olynyk, Kelly",kelly,olynyk
kemba walker,6479,kemba,walker,202689,"Walker, Kemba",kemba,walker
kendall marshall,6607,kendall,marshall,203088,"Marshall, Kendall",kendall,marshall
kendrick perkins,2018,kendrick,perkins,2570,"Perkins, Kendrick",kendrick,perkins
kenneth faried,6433,kenneth,faried,202702,"Faried, Kenneth",kenneth,faried
kent bazemore,6637,kent,bazemore,203145,"Bazemore, Kent",kent,bazemore
kentavious caldwellpope,2581018,kentavious,caldwellpope,203484,"Caldwell-Pope, Kentavious",kentavious,caldwellpope
kenyon martin,515,kenyon,martin,2030,"Martin, Kenyon",kenyon,martin
kevin durant,3202,kevin,durant,201142,"Durant, Kevin",kevin,durant
kevin garnett,261,kevin,garnett,708,"Garnett, Kevin",kevin,garnett
kevin love,3449,kevin,love,201567,"Love, Kevin",kevin,love
kevin martin,2394,kevin,martin,2755,"Martin, Kevin",kevin,martin
kevin seraphin,4289,kevin,seraphin,202338,"Seraphin, Kevin",kevin,seraphin
khris middleton,6609,khris,middleton,203114,"Middleton, Khris",khris,middleton
kirk hinrich,1981,kirk,hinrich,2550,"Hinrich, Kirk",kirk,hinrich
kj mcdaniels,2566741,kj,mcdaniels,203909,"McDaniels, KJ",kj,mcdaniels
klay thompson,6475,klay,thompson,202691,"Thompson, Klay",klay,thompson
kobe bryant,110,kobe,bryant,977,"Bryant, Kobe",kobe,bryant
kosta koufos,3444,kosta,koufos,201585,"Koufos, Kosta",kosta,koufos
kostas papanikolaou,4195,kostas,papanikolaou,203123,"Papanikolaou, Kostas",kostas,papanikolaou
kris humphries,2433,kris,humphries,2743,"Humphries, Kris",kris,humphries
kyle anderson,2993874,kyle,anderson,203937,"Anderson, Kyle",kyle,anderson
kyle korver,2011,kyle,korver,2594,"Korver, Kyle",kyle,korver
kyle lowry,3012,kyle,lowry,200768,"Lowry, Kyle",kyle,lowry
kyle oquinn,6615,kyle,oquinn,203124,"O'Quinn, Kyle",kyle,oquinn
kyle singler,6469,kyle,singler,202713,"Singler, Kyle",kyle,singler
kyrie irving,6442,kyrie,irving,202681,"Irving, Kyrie",kyrie,irving
lamarcus aldridge,2983,lamarcus,aldridge,200746,"Aldridge, LaMarcus",lamarcus,aldridge
lance stephenson,4244,lance,stephenson,202362,"Stephenson, Lance",lance,stephenson
